benchmark,benchmark_short,step,model,score,delta_vs_base
AoTBench_QA_adaptive,AoT-QA,0,Qwen3-VL-4B-Instruct,52.67,0.0
AoTBench_QA_adaptive,AoT-QA,50,Qwen3-VL-4B-Instruct-MOPD-Step50,,
AoTBench_QA_adaptive,AoT-QA,100,Qwen3-VL-4B-Instruct-MOPD-Step100,,
AoTBench_QA_adaptive,AoT-QA,150,Qwen3-VL-4B-Instruct-MOPD-Step150,,
AoTBench_QA_adaptive,AoT-QA,200,Qwen3-VL-4B-Instruct-MOPD-Step200,,
AoTBench_QA_adaptive,AoT-QA,250,Qwen3-VL-4B-Instruct-MOPD-Step250,,
AoTBench_QA_adaptive,AoT-QA,300,Qwen3-VL-4B-Instruct-MOPD-Step300,,
AoTBench_QA_adaptive,AoT-QA,350,Qwen3-VL-4B-Instruct-MOPD-Step350,,
AoTBench_QA_adaptive,AoT-QA,400,Qwen3-VL-4B-Instruct-MOPD-Step400,,
AoTBench_QA_adaptive,AoT-QA,450,Qwen3-VL-4B-Instruct-MOPD-Step450,,
AoTBench_QA_adaptive,AoT-QA,500,Qwen3-VL-4B-Instruct-MOPD-Step500,,
AoTBench_QA_adaptive,AoT-QA,550,Qwen3-VL-4B-Instruct-MOPD-Step550,,
AoTBench_QA_adaptive,AoT-QA,583,Qwen3-VL-4B-Instruct-MOPD-Step583,54.94,2.27
AoTBench_ReverseFilm_adaptive,ReverseFilm,0,Qwen3-VL-4B-Instruct,50.0,0.0
AoTBench_ReverseFilm_adaptive,ReverseFilm,50,Qwen3-VL-4B-Instruct-MOPD-Step50,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,100,Qwen3-VL-4B-Instruct-MOPD-Step100,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,150,Qwen3-VL-4B-Instruct-MOPD-Step150,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,200,Qwen3-VL-4B-Instruct-MOPD-Step200,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,250,Qwen3-VL-4B-Instruct-MOPD-Step250,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,300,Qwen3-VL-4B-Instruct-MOPD-Step300,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,350,Qwen3-VL-4B-Instruct-MOPD-Step350,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,400,Qwen3-VL-4B-Instruct-MOPD-Step400,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,450,Qwen3-VL-4B-Instruct-MOPD-Step450,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,500,Qwen3-VL-4B-Instruct-MOPD-Step500,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,550,Qwen3-VL-4B-Instruct-MOPD-Step550,,
AoTBench_ReverseFilm_adaptive,ReverseFilm,583,Qwen3-VL-4B-Instruct-MOPD-Step583,50.0,0.0
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,0,Qwen3-VL-4B-Instruct,53.51,0.0
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,50,Qwen3-VL-4B-Instruct-MOPD-Step50,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,100,Qwen3-VL-4B-Instruct-MOPD-Step100,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,150,Qwen3-VL-4B-Instruct-MOPD-Step150,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,200,Qwen3-VL-4B-Instruct-MOPD-Step200,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,250,Qwen3-VL-4B-Instruct-MOPD-Step250,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,300,Qwen3-VL-4B-Instruct-MOPD-Step300,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,350,Qwen3-VL-4B-Instruct-MOPD-Step350,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,400,Qwen3-VL-4B-Instruct-MOPD-Step400,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,450,Qwen3-VL-4B-Instruct-MOPD-Step450,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,500,Qwen3-VL-4B-Instruct-MOPD-Step500,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,550,Qwen3-VL-4B-Instruct-MOPD-Step550,,
AoTBench_Rtime_t2v_adaptive,Rtime-t2v,583,Qwen3-VL-4B-Instruct-MOPD-Step583,51.61,-1.9
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,0,Qwen3-VL-4B-Instruct,60.44,0.0
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,50,Qwen3-VL-4B-Instruct-MOPD-Step50,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,100,Qwen3-VL-4B-Instruct-MOPD-Step100,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,150,Qwen3-VL-4B-Instruct-MOPD-Step150,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,200,Qwen3-VL-4B-Instruct-MOPD-Step200,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,250,Qwen3-VL-4B-Instruct-MOPD-Step250,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,300,Qwen3-VL-4B-Instruct-MOPD-Step300,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,350,Qwen3-VL-4B-Instruct-MOPD-Step350,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,400,Qwen3-VL-4B-Instruct-MOPD-Step400,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,450,Qwen3-VL-4B-Instruct-MOPD-Step450,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,500,Qwen3-VL-4B-Instruct-MOPD-Step500,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,550,Qwen3-VL-4B-Instruct-MOPD-Step550,,
AoTBench_Rtime_v2t_adaptive,Rtime-v2t,583,Qwen3-VL-4B-Instruct-MOPD-Step583,61.8,1.36
AoTBench_UCF101_adaptive,UCF101,0,Qwen3-VL-4B-Instruct,51.6,0.0
AoTBench_UCF101_adaptive,UCF101,50,Qwen3-VL-4B-Instruct-MOPD-Step50,,
AoTBench_UCF101_adaptive,UCF101,100,Qwen3-VL-4B-Instruct-MOPD-Step100,,
AoTBench_UCF101_adaptive,UCF101,150,Qwen3-VL-4B-Instruct-MOPD-Step150,,
AoTBench_UCF101_adaptive,UCF101,200,Qwen3-VL-4B-Instruct-MOPD-Step200,,
AoTBench_UCF101_adaptive,UCF101,250,Qwen3-VL-4B-Instruct-MOPD-Step250,,
AoTBench_UCF101_adaptive,UCF101,300,Qwen3-VL-4B-Instruct-MOPD-Step300,,
AoTBench_UCF101_adaptive,UCF101,350,Qwen3-VL-4B-Instruct-MOPD-Step350,,
AoTBench_UCF101_adaptive,UCF101,400,Qwen3-VL-4B-Instruct-MOPD-Step400,,
AoTBench_UCF101_adaptive,UCF101,450,Qwen3-VL-4B-Instruct-MOPD-Step450,,
AoTBench_UCF101_adaptive,UCF101,500,Qwen3-VL-4B-Instruct-MOPD-Step500,,
AoTBench_UCF101_adaptive,UCF101,550,Qwen3-VL-4B-Instruct-MOPD-Step550,,
AoTBench_UCF101_adaptive,UCF101,583,Qwen3-VL-4B-Instruct-MOPD-Step583,51.6,0.0
ETBench_adaptive,ETBench,0,Qwen3-VL-4B-Instruct,34.55,0.0
ETBench_adaptive,ETBench,50,Qwen3-VL-4B-Instruct-MOPD-Step50,34.84,0.29
ETBench_adaptive,ETBench,100,Qwen3-VL-4B-Instruct-MOPD-Step100,38.72,4.17
ETBench_adaptive,ETBench,150,Qwen3-VL-4B-Instruct-MOPD-Step150,41.16,6.61
ETBench_adaptive,ETBench,200,Qwen3-VL-4B-Instruct-MOPD-Step200,41.05,6.5
ETBench_adaptive,ETBench,250,Qwen3-VL-4B-Instruct-MOPD-Step250,41.6,7.05
ETBench_adaptive,ETBench,300,Qwen3-VL-4B-Instruct-MOPD-Step300,41.37,6.82
ETBench_adaptive,ETBench,350,Qwen3-VL-4B-Instruct-MOPD-Step350,41.66,7.11
ETBench_adaptive,ETBench,400,Qwen3-VL-4B-Instruct-MOPD-Step400,41.55,7.0
ETBench_adaptive,ETBench,450,Qwen3-VL-4B-Instruct-MOPD-Step450,41.45,6.9
ETBench_adaptive,ETBench,500,Qwen3-VL-4B-Instruct-MOPD-Step500,41.51,6.96
ETBench_adaptive,ETBench,550,Qwen3-VL-4B-Instruct-MOPD-Step550,41.34,6.79
ETBench_adaptive,ETBench,583,Qwen3-VL-4B-Instruct-MOPD-Step583,41.54,6.99
MVBench_MP4_adaptive,MVBench,0,Qwen3-VL-4B-Instruct,62.55,0.0
MVBench_MP4_adaptive,MVBench,50,Qwen3-VL-4B-Instruct-MOPD-Step50,62.92,0.37
MVBench_MP4_adaptive,MVBench,100,Qwen3-VL-4B-Instruct-MOPD-Step100,63.25,0.7
